Country,Company_Count
"United States",621
China,280
Japan,181
India,71
"United Kingdom",66
"South Korea",61
Canada,59
Germany,50
France,49
Switzerland,46
"Hong Kong",44
Taiwan,41
Australia,31
Italy,28
Brazil,26
Sweden,25
Netherlands,23
Ireland,23
Spain,21
"Saudi Arabia",16
Thailand,16
Mexico,14
Denmark,13
Israel,12
"South Africa",12
"United Arab Emirates",12
Singapore,10
Turkey,10
Belgium,9
Finland,9
Austria,9
Malaysia,9
Indonesia,9
Norway,8
Bermuda,8
Greece,8
Colombia,7
Vietnam,7
Chile,7
Qatar,6
Philippines,6
Poland,5
Luxembourg,4
Portugal,4
Hungary,3
Argentina,3
Kuwait,2
Kazakhstan,2
Morocco,2
Croatia,2
Nigeria,2
"Cayman Islands",1
"Czech Republic",1
Romania,1
Egypt,1
Jordan,1
Peru,1
Slovenia,1
Oman,1
Cyprus,1
